record_id,text,date_dmy,datevar_ymd,datetime_dmy_hm,datetimevar_ymd_hm,datetime_dmy_hms,datetimevar_ymd_hms,email,intvar,letter,numvar,num_1dp,numvar_2dp,num_3dp,numvar_4dp,patid_hcc,patidvar_ihr,phone,pseudovar,time_hms,timevar_hm,time_ms,timevar_hms2,notes,calc,singlec_dd,singlecvar_rb,multic_2,yn,tf,slidervar
1,1234,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,true,
2,abcd,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,no,false,
3,,2.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
4,,2.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
5,1234,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,y,t,
6,abcd,2.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,n,f,
7,,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,TRUE,
8,,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,FALSE,
9,1234,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abcd,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,true,
11,,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,no,false,
12,,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
13,1234,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
14,abcd,02.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,y,t,
15,,20220202,,,,,,,,,,,,,,,,,,,,,,,,,,,n,f,
16,,2022022,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,TRUE,
17,,44594,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,FALSE,
